"Id","5913e1da8b0ee5cf0c53b209","5b7de8ab463f260f62cebb7c","5913e1da8b0ee5cf0c53b206"
"Timestamp","dsit10/112 - Johnstone/1120054 - JRC - Johnstone River at Coquette Point/Real-time Data/Logger/Sonde - Conductivity","dsit10/112 - Johnstone/1120054 - JRC - Johnstone River at Coquette Point/Real-time Data/Logger/Sonde - SondeTemp","dsit10/112 - Johnstone/1120054 - JRC - Johnstone River at Coquette Point/Real-time Data/Logger/Sonde - Turbidity"
"Units","uS/cm","","NTU"
2017-05-22 10:30:00,27674.5,,11.45
2017-05-22 11:30:00,16584.1,,17.99
2017-05-22 12:30:00,10123.8,,14.42
2017-05-22 13:30:00,6843.56,,14.32
2017-05-22 14:30:00,8299.17,,14.48
2017-05-22 15:30:00,12393.1,,18.55
2017-05-22 16:30:00,44078.5,,13.82
2017-05-22 17:30:00,48140.5,,11.18
2017-05-22 18:30:00,49440.5,,8.65
2017-05-22 19:30:00,49453.8,,6.93
2017-05-22 20:30:00,48762.6,,6.35
2017-05-22 21:30:00,36244.1,,9.63
2017-05-22 22:30:00,27195.2,,5.86
2017-05-22 23:30:00,21175.2,,9.33
2017-05-23 00:30:00,14462.4,,8.48
2017-05-23 01:30:00,10167.1,,11.65
2017-05-23 02:30:00,15713,,12.11
2017-05-23 03:30:00,36962.2,,26.34
2017-05-23 04:30:00,47270.5,,9.78
2017-05-23 05:30:00,48972,,6.61
2017-05-23 06:30:00,50423.4,,8.56
2017-05-23 07:30:00,50332.5,,8.45
2017-05-23 08:30:00,49603.3,,20.43
2017-05-23 09:30:00,37254.8,,12.4
2017-05-23 10:30:00,32324.2,,10.4
2017-05-23 11:30:00,19460.3,,14.75
2017-05-23 12:30:00,11367,,17.08
2017-05-23 13:30:00,6739.53,,35.93
2017-05-23 14:30:00,4607.13,,10.55
2017-05-23 15:30:00,6426.23,,18.14
2017-05-23 16:30:00,36365.3,,21.2
2017-05-23 17:30:00,46399.7,,10.39
2017-05-23 18:30:00,49616,,11.35
2017-05-23 19:30:00,50037.1,,12.9
2017-05-23 20:30:00,49792.5,,7.61
2017-05-23 21:30:00,48499.9,,5.56
2017-05-23 22:30:00,39958.8,,7.71
2017-05-23 23:30:00,34269.8,,15.65
2017-05-24 00:30:00,22153.1,,15.89
2017-05-24 01:30:00,14733.7,,33.03
2017-05-24 02:30:00,10078.5,,8.68
2017-05-24 03:30:00,15123.7,,11.05
2017-05-24 04:30:00,38147.6,,17.89
2017-05-24 05:30:00,48335.8,,9.96
2017-05-24 06:30:00,49874.5,,9.36
2017-05-24 07:30:00,50720.9,,9.37
2017-05-24 08:30:00,50684.1,,12.19
2017-05-24 09:30:00,48738.1,,7.1
2017-05-24 10:30:00,37566,,11.21
2017-05-24 11:30:00,22675,,16.41
2017-05-24 12:30:00,13521.8,,18.3
2017-05-24 13:30:00,7313.1,,50.78
2017-05-24 14:30:00,4346.85,,51.12
2017-05-24 15:30:00,3129.75,,17.57
2017-05-24 16:30:00,5101.69,,19.3
2017-05-24 17:30:00,42783,,19.53
2017-05-24 18:30:00,50398.2,,9.41
2017-05-24 19:30:00,50769.4,,7.65
2017-05-24 20:30:00,50935.5,,12.49
2017-05-24 21:30:00,50843.5,,10.94
2017-05-24 22:30:00,48974.8,,13.09
2017-05-24 23:30:00,39275.1,,8.91
2017-05-25 00:30:00,28751.6,,12.92
2017-05-25 01:30:00,20110.5,,15.51
2017-05-25 02:30:00,13744.2,,10.85
2017-05-25 03:30:00,9367.48,,7.33
2017-05-25 04:30:00,14274,,60.94
2017-05-25 05:30:00,44615.2,,12.66
2017-05-25 06:30:00,47656,,11.87
2017-05-25 07:30:00,49489,,9.14
2017-05-25 08:30:00,49896.6,,11.27
2017-05-25 09:30:00,50039.1,,16.24
2017-05-25 10:30:00,39858.5,,9.79
2017-05-25 11:30:00,30951.3,,15.9
2017-05-25 12:30:00,18615.2,,22.7
2017-05-25 13:30:00,11119.5,,40.19
2017-05-25 14:30:00,6663.78,,65.55
2017-05-25 15:30:00,4193.16,,47.25
2017-05-25 16:30:00,3284.85,,22.72
2017-05-25 17:30:00,20964.1,,49.21
2017-05-25 18:30:00,46325,,20.73
2017-05-25 19:30:00,50465.4,,12.13
2017-05-25 20:30:00,50795.5,,8.67
2017-05-25 21:30:00,50655.2,,8.88
